code,year,0. Crop production index,3. Agricultural land area (sq. km),5. Average precipitation (mm per year),7. Fertilizer consumption (kilograms per hectare of arable land),13. Population,17. Employment in agriculture (% of total employment) (modeled ILO estimate)
EGY,2014,99.07,37151.90000221,18.1,546.9682106,95592324.0,27.5477652732057
EGY,2015,101.99,37898.7709964155,18.1,569.4591719,97723799.0,25.8150814968524
EGY,2016,98.94,37337.653998377995,18.1,568.0420749,99784030.0,25.5738276569078
EGY,2017,100.63,38369.688000327,18.1,574.1819761,101789386.0,25.0617913715008
EGY,2018,96.26,38629.9999970005,18.1,535.2902591,103740765.0,21.6811970850412
EGY,2019,101.22,39219.999996697,18.1,504.7219633,105618671.0,21.1580253700445
EGY,2020,101.83,39709.9999961075,18.1,496.1367013,107465134.0,20.3791302322271
EGY,2021,104.17,40309.99999782351,18.1,542.5739357,109262178.0,19.2891709055222
