Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,Permanent cropland (% of land area),AG.LND.CROP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10748156,2.10748156,2.283105023,2.072356867,1.966982789,1.510361784,1.334738321,1.334738321,1.334738321,1.334738321,1.264488936,1.369863014,1.756234633,1.756234633,1.791359326,1.896733404,1.896733404,1.861608711,1.935370566,1.875658588,1.991570074,2.026694766,2.012644889,2.023182297,2.037232174,2.040744643,2.075869336,2.10748156,2.10748156,2.118018967,,
American Samoa,ASM,Permanent cropland (% of land area),AG.LND.CROP.ZS,,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.57,6.64,6.76,6.88,7,7.12,7.24,7.36,7.43,7.55,7.65,7.75,7.85,7.95,8.05,8.15,8.25,8.35,8.45,8.55,8.65,8.75,8.85,8.95,9.05,9.15,9.25,9.35,9.45,9.55,9.65,,
Antigua and Barbuda,ATG,Permanent cropland (% of land area),AG.LND.CROP.ZS,,,,,,,,,,,,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,,
Australia,AUS,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.022494162,0.023231675,0.023495073,0.023705791,0.02386383,0.02381115,0.023758471,0.023916509,0.024232587,0.024232587,0.024732177,0.02395116,0.023170144,0.023300314,0.022649467,0.02212879,0.021738282,0.021477943,0.021868451,0.021868451,0.02212879,0.02212879,0.022389128,0.022389128,0.022519298,0.022909806,0.021477943,0.029027765,0.023039975,0.023560652,0.022649467,0.023170144,0.024211499,0.02603387,0.026424378,0.02811658,0.029808781,0.031891491,0.035145725,0.038530128,0.041654192,0.042305039,0.043606732,0.043867071,0.044257579,0.043867071,0.052718587,0.049451336,0.048084558,0.048976218,0.049867878,0.046288221,0.05079208,0.045129714,0.039870872,0.041731561,0.041861566,0.043161614,0.045111687,0.045761711,0.050051872,,
Austria,AUT,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.787687833,0.787687833,0.787687833,0.811924382,0.824042656,0.848279205,0.848279205,0.860397479,1.151236064,1.151236064,1.13911779,1.13911779,1.187590887,1.187590887,1.187590887,1.187590887,1.187590887,1.187590887,1.199709161,1.199709161,1.199709161,1.199709161,0.933107126,0.933107126,0.933107126,0.896752302,0.896752302,0.896752302,0.896752302,0.957343674,0.957343674,0.848279205,0.957343674,0.920988851,0.9452254,0.920988851,0.884634028,0.872515754,0.860397479,0.860397479,0.860397479,0.860397479,0.860397479,0.799806108,0.799806108,0.824042656,0.824042656,0.80344159,0.80344159,0.791323316,0.791323316,0.791323316,0.792535143,0.792535143,0.793625788,0.810349006,0.810349006,0.810349006,0.810349006,0.82057683,0.82057683,,
Azerbaijan,AZE,Permanent cropland (% of land area),AG.LND.CROP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.728805412,3.731208767,3.709578572,3.719191992,3.159210258,3.133975029,3.008713234,2.864397558,2.866654561,2.748050942,2.734270982,2.731936311,2.69498742,2.679651585,2.675556954,2.719384236,2.753337287,2.748662584,2.75116144,2.748675264,2.793438022,2.786145489,2.824722064,2.867062652,2.915205032,2.985652416,3.085150144,3.149272872,3.299615226,3.316394434,,
Burundi,BDI,Permanent cropland (% of land area),AG.LND.CROP.ZS,,8.956386293,8.956386293,8.956386293,8.956386293,9.345794393,9.345794393,9.735202492,9.735202492,9.929906542,10.12461059,10.12461059,10.51401869,11.68224299,11.68224299,11.68224299,11.68224299,12.46105919,12.46105919,12.46105919,12.46105919,12.46105919,12.46105919,12.46105919,12.46105919,12.46105919,13.23987539,13.62928349,14.01869159,14.01869159,14.01869159,14.01869159,14.40809969,14.40809969,14.40809969,14.40809969,14.40809969,14.01869159,14.01869159,14.01869159,14.01869159,14.09657321,14.21339564,14.01869159,14.79750779,14.79750779,15.57632399,15.57632399,15.57632399,15.57632399,15.57632399,13.94080997,13.62928349,13.62928349,13.62928349,13.62928349,13.62928349,13.62928349,13.62928349,13.62928349,13.62928349,13.62928349,,
Belgium,BEL,Permanent cropland (% of land area),AG.LND.CROP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.680317041,0.686922061,0.69682959,0.7001321,0.70343461,0.693527081,0.693527081,0.690224571,0.70343461,0.71334214,0.71664465,0.71664465,0.72655218,0.736459709,0.736459709,0.743064729,0.759577279,0.759577279,0.792602378,0.781793263,0.779838177,0.784346103,,
Benin,BEN,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.709471444,0.709471444,0.709471444,0.709471444,0.709471444,0.709471444,0.709471444,0.709471444,0.753813409,0.753813409,0.753813409,0.753813409,0.753813409,0.753813409,0.753813409,0.753813409,0.753813409,0.753813409,0.753813409,0.753813409,0.753813409,0.798155374,0.798155374,0.798155374,0.886839305,0.886839305,0.886839305,0.886839305,0.886839305,0.93118127,0.975523235,1.0198652,1.064207166,1.330258957,1.596310748,1.86236254,2.128414331,2.217098262,2.305782192,2.350124158,2.350124158,2.350124158,2.367860944,2.367860944,2.483150053,2.571833984,2.660517914,4.434196524,5.321035828,5.321035828,5.321035828,5.321035828,6.207875133,6.207875133,6.207875133,5.321035828,5.321035828,5.321035828,5.321035828,5.321035828,5.321035828,,
Burkina Faso,BFA,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.054824561,0.054824561,0.054824561,0.073099415,0.073099415,0.073099415,0.073099415,0.073099415,0.073099415,0.073099415,0.073099415,0.073099415,0.073099415,0.073099415,0.109649123,0.127923977,0.127923977,0.127923977,0.127923977,0.14619883,0.164473684,0.164473684,0.182748538,0.201023392,0.201023392,0.219298246,0.237573099,0.255847953,0.255847953,0.255847953,0.255847953,0.255847953,0.255847953,0.255847953,0.255847953,0.255847953,0.255847953,0.255847953,0.255847953,0.263157895,0.277777778,0.285087719,0.292397661,0.354532164,0.413011696,0.456871345,0.475146199,0.520833333,0.584795322,0.709064327,0.986842105,1.096491228,1.425438596,1.535087719,1.68128655,1.754385965,1.82748538,2.192982456,2.229532164,2.229532164,2.339181287,,
